wavelength (nm),intensity (counts)
856.08,32194
856.38,31758
856.67,33008
856.96,32918
857.26,33194
857.55,32197
857.84,32572
858.13,32380
858.43,32261
858.72,32197
859.01,32508
859.3,32226
859.6,32543
859.89,32191
860.18,31720
860.47,32287
860.77,32604
861.06,31851
861.35,32287
861.64,33136
861.93,32197
862.23,32790
862.52,33447
862.81,32633
863.1,32825
863.39,32412
863.68,32412
863.98,33101
864.27,32380
864.56,31973
864.85,32668
865.14,32447
865.43,33604
865.72,33107
866.02,33203
866.31,32636
866.6,31944
866.89,32287
867.18,32729
867.47,32851
867.76,32665
868.05,31880
868.34,32665
868.63,32133
868.92,32130
869.21,32854
869.5,31819
869.79,32476
870.08,33008
870.38,33014
870.67,32575
870.96,33005
871.25,32633
871.54,32697
871.83,32572
872.12,32293
872.41,32694
872.69,32508
872.98,32947
873.27,32540
873.56,32479
873.85,32383
874.14,32790
874.43,32514
874.72,32383
875.01,32505
