wavelength (nm),intensity (counts)
348.77,32357
349.13,33069
349.5,33578
349.87,32973
350.23,33136
350.6,32633
350.97,32537
351.33,33299
351.7,33014
352.06,33200
352.43,32450
352.8,32793
353.16,32447
353.53,32793
353.9,32607
354.26,33168
354.63,32418
354.99,34107
355.36,33232
355.73,32642
356.09,32729
356.46,33700
356.82,32412
357.19,32947
357.56,32450
357.92,33069
358.29,32543
358.65,33479
359.02,32854
359.38,32950
359.75,32348
360.11,33325
360.48,32764
360.85,32790
361.21,32956
361.58,32668
361.94,32921
362.31,33101
362.67,32322
363.04,32761
363.4,32793
363.77,33325
364.13,32886
364.5,32694
364.86,32514
365.23,32671
365.59,33136
365.96,33107
366.32,32136
366.69,32447
367.05,32787
367.42,32264
367.78,33860
368.15,32104
368.51,33450
368.87,32697
369.24,33325
369.6,32816
369.97,32790
370.33,32956
370.7,33732
371.06,33014
371.43,32540
371.79,32668
372.15,33386
372.52,32543
372.88,33040
373.25,32982
373.61,32232
373.98,32572
374.34,32851
374.7,33040
375.07,32572
375.43,32729
375.79,32601
376.16,33229
376.52,32950
376.89,33104
377.25,32671
377.61,32799
377.98,32979
378.34,32633
378.7,33546
379.07,32857
379.43,32825
379.79,32322
380.16,32316
380.52,32950
380.88,32735
381.25,32444
381.61,33008
381.97,32665
382.34,33200
382.7,33072
383.06,32915
383.43,32793
383.79,32447
384.15,32883
384.51,32950
384.88,33104
385.24,32758
385.6,32502
385.97,32697
386.33,32976
386.69,32982
387.05,32386
387.42,32322
387.78,33229
388.14,32604
388.5,32191
388.87,32578
389.23,32476
389.59,33389
389.95,32729
390.32,33607
390.68,32261
391.04,32415
391.4,33258
391.76,32226
392.13,32735
392.49,33424
392.85,32912
393.21,32261
393.57,33697
393.94,32825
394.3,32947
394.66,33110
395.02,33165
395.38,32697
395.75,32671
396.11,32825
396.47,32287
396.83,32572
397.19,32322
397.55,32921
397.91,33017
398.28,32354
398.64,33139
399,32351
399.36,32479
399.72,32889
400.08,33075
400.44,32764
400.8,32732
401.17,32825
401.53,32665
401.89,33040
402.25,32508
402.61,32668
402.97,33011
403.33,32572
403.69,32566
404.05,32636
404.41,33453
404.77,32668
405.13,32328
405.5,32857
405.86,32043
406.22,32601
406.58,33418
406.94,32601
407.3,32572
407.66,32790
408.02,32072
408.38,33732
408.74,32671
409.1,32482
409.46,33674
409.82,32354
410.18,32354
410.54,33331
410.9,33238
411.26,33043
411.62,33171
411.98,32386
412.34,33735
412.7,33014
413.06,32325
413.42,33049
413.78,32421
414.14,33424
414.5,33235
414.86,33142
415.22,33488
415.58,33674
415.93,33110
416.29,32796
416.65,32738
417.01,33834
417.37,33209
417.73,33302
418.09,33401
418.45,33488
418.81,32872
419.17,33782
419.53,33465
419.89,33936
420.24,34564
420.6,34131
420.96,33686
421.32,34349
421.68,34003
422.04,34070
422.4,34105
422.76,33980
423.11,34835
423.47,34954
423.83,34076
424.19,34954
424.55,33832
424.91,35507
425.27,35402
425.62,35097
425.98,36353
426.34,35475
426.7,35609
427.06,35955
427.41,36609
427.77,36993
428.13,36461
428.49,36880
428.85,37095
429.2,36517
429.56,38462
429.92,38238
430.28,38215
430.64,39070
430.99,39009
431.35,39044
431.71,39617
432.07,39396
432.42,40254
432.78,40772
433.14,41836
433.5,40865
433.85,41400
434.21,42194
434.57,41703
434.93,42459
435.28,42814
435.64,43550
436,43678
436.35,44783
436.71,46313
437.07,45438
437.42,46159
437.78,47779
438.14,46503
438.5,46378
438.85,47896
439.21,49074
439.57,49932
439.92,50729
440.28,50389
440.64,51907
440.99,52364
441.35,54147
441.71,55421
442.06,56209
442.42,57454
442.77,57152
443.13,58231
443.49,60026
443.84,59575
444.2,60931
444.56,62167
444.91,64892
445.27,65105
445.62,66158
445.98,67310
446.34,69381
446.69,70914
447.05,73785
447.4,74312
447.76,74858
448.11,78518
448.47,80339
448.83,81342
449.18,80747
449.54,83332
449.89,84278
450.25,88911
450.6,89232
450.96,91390
451.31,93095
451.67,92790
452.02,96164
452.38,97645
452.73,100737
